"","baseMean","log2FoldChange","lfcSE","pvalue","padj","abslog2FoldChange"
"LOC100576103",0.824512004222847,0.0754953963901651,0.383815339863494,0.686405257129035,0.771457072888257,0.0754953963901651
"LOC100576104",331.996842850157,-0.00793919065298945,0.0624669890116367,0.897203432962595,0.931093188454887,0.00793919065298945
"LOC100576105",1.12970513680809,0.0105066682427619,0.344445902610293,0.959265166546302,0.973572624805578,0.0105066682427619
"LOC100576106",321.632409775578,-0.294742307704081,0.238593296739695,0.134456290475335,0.218596530590821,0.294742307704081
"LOC100576110",740.54372087874,-0.551364535272504,0.122590117829499,2.72315932502227e-06,1.62800089375308e-05,0.551364535272504
"LOC100576116",259.834542160522,0.289486949643309,0.0694493276572128,2.15262866889237e-05,0.000105625179822941,0.289486949643309
"LOC100576118",429.608319158481,-0.197309740631408,0.341512313291594,0.375779695964331,0.496066496905766,0.197309740631408
"LOC100576120",113.456323191238,0.0746072256140651,0.140636597942956,0.577561393357038,0.682728119995125,0.0746072256140651
"LOC100576121",31.3646121240586,0.409746352011213,0.189713142586334,0.0165780698296851,0.0381197896437396,0.409746352011213
"LOC100576122",2.98549682833387,1.02256563750852,0.439268838563513,0.00203839029939149,0.00616468218710025,1.02256563750852
"LOC100576125",663.221439025502,-0.0666727554161413,0.103308349770129,0.508442737329384,0.622659543811482,0.0666727554161413
"LOC100576126",8.80629323153659,0.12989383144569,0.245708660523922,0.520093729187315,0.632631158429467,0.12989383144569
"LOC100576128",63.365543858147,-0.288882893240084,0.171113668309942,0.065243088747349,0.12088097367405,0.288882893240084
"LOC100576129",262.826833072146,0.642742272256171,0.16924473770363,4.46328467808499e-05,0.00020477571098513,0.642742272256171
"LOC100576130",11.0480348847952,-0.204324032344264,0.261184952634221,0.319204252665376,0.4381337601965,0.204324032344264
"LOC100576131",178.812348307798,-0.19032216565493,0.0649739727123659,0.00303708243468015,0.00872723123385623,0.19032216565493
"LOC100576132",3008.1320770863,0.698417433420064,0.167575482689915,8.67606747160392e-06,4.62351266609994e-05,0.698417433420064
"LOC100576134",521.507659165782,1.45575341225286,0.365033933529171,2.44115028071125e-06,1.47198469270709e-05,1.45575341225286
"LOC100576135",304.904120620814,-1.33481799568339,0.228209075336802,4.02127191521634e-10,4.96990142509948e-09,1.33481799568339
"LOC100576136",124.177762238937,0.503433459948935,0.140884766790675,0.000156773721197746,0.000639999871956196,0.503433459948935
"LOC100576139",14.687869787904,0.105134847532374,0.15951677067876,0.478403903243226,0.594640645734465,0.105134847532374
"LOC100576140",306.067716787695,0.310127552492905,0.0888920142343213,0.000362936653839472,0.00135022587302517,0.310127552492905
"LOC100576143",181.041535178911,0.0256265687305883,0.150471029788191,0.853979249075548,0.899718528326601,0.0256265687305883
"LOC100576146",598.064177154493,-0.296692693013599,0.0724128493913586,2.97541147304004e-05,0.000141473952699384,0.296692693013599
