"PEAKID","peakbias","phenotype"
"broadPeak_13107","mat","WL"
"broadPeak_13235","mat","WL"
"broadPeak_13524","mat","WL"
"broadPeak_13561","mat","WL"
"broadPeak_13998","mat","WL"
"broadPeak_14106","mat","WL"
"broadPeak_14227","mat","WL"
"broadPeak_14243","mat","WL"
"broadPeak_14451","mat","WL"
"broadPeak_14529","mat","WL"
"broadPeak_14691","mat","WL"
"broadPeak_14707","mat","WL"
"broadPeak_14789","mat","WL"
"broadPeak_14842","mat","WL"
"broadPeak_14917","mat","WL"
"broadPeak_15112","mat","WL"
"broadPeak_15115","mat","WL"
"broadPeak_15155","mat","WL"
"broadPeak_15170","mat","WL"
"broadPeak_15293","mat","WL"
"broadPeak_15303","mat","WL"
"broadPeak_15382","mat","WL"
"broadPeak_15390","mat","WL"
"broadPeak_15846","mat","WL"
"broadPeak_16231","mat","WL"
"broadPeak_16235","mat","WL"
"broadPeak_17256","mat","WL"
"broadPeak_17257","mat","WL"
"broadPeak_17265","mat","WL"
"broadPeak_17325","mat","WL"
"broadPeak_17516","mat","WL"
"broadPeak_17555","mat","WL"
"broadPeak_18480","mat","WL"
"broadPeak_18585","mat","WL"
"broadPeak_19135","mat","WL"
"broadPeak_19138","mat","WL"
"broadPeak_19170","mat","WL"
"broadPeak_19171","mat","WL"
"broadPeak_19873","mat","WL"
"broadPeak_20022","mat","WL"
"broadPeak_20028","mat","WL"
"broadPeak_20060","mat","WL"
"broadPeak_20065","mat","WL"
"broadPeak_20080","mat","WL"
"broadPeak_20902","mat","WL"
"broadPeak_21144","mat","WL"
"broadPeak_21258","mat","WL"
"broadPeak_21262","mat","WL"
"broadPeak_21286","mat","WL"
"broadPeak_21334","mat","WL"
"broadPeak_22135","mat","WL"
"broadPeak_22150","mat","WL"
"broadPeak_22327","mat","WL"
"broadPeak_22626","mat","WL"
"broadPeak_22697","mat","WL"
"broadPeak_22703","mat","WL"
"broadPeak_23397","mat","WL"
"broadPeak_23412","mat","WL"
"broadPeak_23441","mat","WL"
"broadPeak_23488","mat","WL"
"broadPeak_23494","mat","WL"
"broadPeak_23613","mat","WL"
"broadPeak_23635","mat","WL"
"broadPeak_23637","mat","WL"
"broadPeak_23649","mat","WL"
"broadPeak_23655","mat","WL"
"broadPeak_23663","mat","WL"
"broadPeak_23665","mat","WL"
"broadPeak_23666","mat","WL"
"broadPeak_23996","mat","WL"
"broadPeak_24090","mat","WL"
"broadPeak_24102","mat","WL"
"broadPeak_24103","mat","WL"
"broadPeak_24406","mat","WL"
"broadPeak_24415","mat","WL"
"broadPeak_24647","mat","WL"
"broadPeak_24903","mat","WL"
"broadPeak_24908","mat","WL"
"broadPeak_24918","mat","WL"
"broadPeak_25229","mat","WL"
"broadPeak_25232","mat","WL"
"broadPeak_25255","mat","WL"
"broadPeak_25256","mat","WL"
"broadPeak_25861","mat","WL"
"broadPeak_25866","mat","WL"
"broadPeak_25877","mat","WL"
"broadPeak_26153","mat","WL"
"broadPeak_26791","mat","WL"
"broadPeak_26812","mat","WL"
"broadPeak_26818","mat","WL"
"broadPeak_26836","mat","WL"
"broadPeak_26884","mat","WL"
"broadPeak_26940","mat","WL"
"broadPeak_27160","mat","WL"
"broadPeak_27206","mat","WL"
"broadPeak_27429","mat","WL"
"broadPeak_27861","mat","WL"
"broadPeak_27870","mat","WL"
"broadPeak_27873","mat","WL"
"broadPeak_27885","mat","WL"
"broadPeak_27943","mat","WL"
"broadPeak_28090","mat","WL"
"broadPeak_28116","mat","WL"
"broadPeak_28182","mat","WL"
"broadPeak_28952","mat","WL"
"broadPeak_28977","mat","WL"
"broadPeak_29102","mat","WL"
"broadPeak_29256","mat","WL"
"broadPeak_29292","mat","WL"
"broadPeak_29351","mat","WL"
"broadPeak_29354","mat","WL"
"broadPeak_29355","mat","WL"
"broadPeak_29402","mat","WL"
"broadPeak_29700","mat","WL"
"broadPeak_29800","mat","WL"
"broadPeak_29826","mat","WL"
"broadPeak_30077","mat","WL"
"broadPeak_30091","mat","WL"
"broadPeak_30092","mat","WL"
"broadPeak_30094","mat","WL"
"broadPeak_30103","mat","WL"
"broadPeak_30891","mat","WL"
"broadPeak_31019","mat","WL"
"broadPeak_31140","mat","WL"
"broadPeak_31173","mat","WL"
"broadPeak_31177","mat","WL"
"broadPeak_31223","mat","WL"
"broadPeak_31225","mat","WL"
"broadPeak_31231","mat","WL"
"broadPeak_31414","mat","WL"
"broadPeak_31420","mat","WL"
"broadPeak_31433","mat","WL"
"broadPeak_31467","mat","WL"
